Enter Stubhub password: SUCCESS | Generated Basic Authorization Token: WktNUnROX1RBMndPZnhqMERHSU1QdjhkMm8wYTpJYTREVE5KVXN2cV85VGxWblZ1cmhfUVpSTUVh
SUCCESS | Logged in. User GUID: 3B39E898C8CB5D93E0540010E0463606
PROCESS | Starting Daily Stubhub Data Pull. Start Time: 2017-03-01 17:28:55.205001
SUCCESS | Loaded MongoDB client.
LocationSerch | Searching through locations: ['San Francisco / Oakland (25 mi)', 'Los Angeles (25 mi)', 'Orange Country (15 mi)', 'San Diego (15 mi)', 'New York (10 mi)']
LocationSearch | Searching for events around lat:37.813552, lon:-122.369772, radius:25, name:San Francisco / Oakland (25 mi)
SUCCESS | Event query performed. Args: Lat: 37.813552. Lon: -122.369772. Radius: 25. Units: mi. API Calls: 4. Events Returned: 1883.
LocationSearch | Location search returned 1883 events.
addEventInfoByVenue | Kept 926/1883 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 926 observations. Time: 1:36:27.049653. apiCall:
LocationSearch | Pulled Full Event Information for San Francisco / Oakland (25 mi) on 2017-03-01. Time/apiCall: 0:24:09.982905. Mongo Collection Size: 33243
LocationSearch | 1/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772]]
LocationSearch | Searching for events around lat:34.042929, lon:-118.25996, radius:25, name:Los Angeles (25 mi)
SUCCESS | Event query performed. Args: Lat: 34.042929. Lon: -118.25996. Radius: 25. Units: mi. API Calls: 6. Events Returned: 2946.
LocationSearch | Location search returned 2946 events.
addEventInfoByVenue | Kept 678/2946 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 678 observations. Time: 1:10:44.509283. apiCall:
LocationSearch | Pulled Full Event Information for Los Angeles (25 mi) on 2017-03-01. Time/apiCall: 0:16:46.492378. Mongo Collection Size: 33921
LocationSearch | 2/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001]]
LocationSearch | Searching for events around lat:32.777648, lon:-117.176551, radius:15, name:Orange Country (15 mi)
