SUCCESS | Pulled all events through Discovery API. Total Events: 1100
SUCCESS | Pulled all events through Discovery API. Total Events: 1100
SUCCESS | Pulled all events through Discovery API. Total Events: 1100
ERROR | Could not extract presale info for --> Jack Johnson,http://ticketmaster.com/event/1C005246EB625DBA
ERROR | Could not extract presale info for --> The Avalanches,http://ticketmaster.com/event/1C005243029F84C4
ERROR | Could not extract presale info for --> Future: Nobody Safe Tour,http://concerts.livenation.com/event/1C005249F94B83D5
ERROR | Could not extract presale info for --> Espinoza Paz,http://ticketmaster.com/event/1C005248C99EB102
ERROR | Could not extract presale info for --> Lady Gaga Joanne World Tour,http://ticketmaster.com/event/1C00523B0B499E11
ERROR | Could not extract presale info for --> 8 Tour - Incubus with special guests Jimmy Eat World,http://concerts.livenation.com/event/1C00524FA7C870FA
ERROR | Could not extract presale info for --> Dan TDM on Tour,http://concerts.livenation.com/event/1C00524D9B8A579B
ERROR | Could not extract presale info for --> Double Feature: Straight No Chaser/Scott Bradlee's Postmodern Jukebox,http://concerts.livenation.com/event/1C00524AFB5BBCCC
ERROR | Could not extract presale info for --> Chance the Rapper,http://ticketmaster.com/event/1C00524887E0478A
ERROR | Could not extract presale info for --> Andrew Rayel,http://ticketmaster.com/event/1C00524EDBFD81BC
ERROR | Could not extract presale info for --> Lady Antebellum: You Look Good Tour 2017,http://concerts.livenation.com/event/1C005247F63759CD
ERROR | Could not extract presale info for --> Breakbot,http://ticketmaster.com/event/1C00524DFE18B262
ERROR | Could not extract presale info for --> Nick Cave & the Bad Seeds,http://ticketmaster.com/event/1C00513BB0E13D18
ERROR | Could not extract presale info for --> John Legend,http://ticketmaster.com/event/1C00518FFD424F54
ERROR | Could not extract presale info for --> Robin Trower,http://ticketmaster.com/event/1C00523BA9D944EE
ERROR | Could not extract presale info for --> Blue October,http://concerts.livenation.com/event/1C00524AAED69C83
ERROR | Could not extract presale info for --> Dan TDM on Tour,http://concerts.livenation.com/event/1C00524F8ADD3CC0
ERROR | Could not extract presale info for --> Dreamstate,http://ticketmaster.com/event/1C00523F932643D0
ERROR | Could not extract presale info for --> The Chainsmokers,http://ticketmaster.com/event/1C005232723311E6
ERROR | Could not extract presale info for --> The Chainsmokers,http://ticketmaster.com/event/1C005232723811E8
ERROR | Could not extract presale info for --> Big Sean: I Decided Tour 2017,http://concerts.livenation.com/event/1C005225B7511B78
ERROR | Could not extract presale info for --> Third Eye Blind: Summer Gods Tour w/ Special Guests Silversun Pickups,http://ticketmaster.com/event/1C00522D0EAF7C53
ERROR | Could not extract presale info for --> Sun Kil Moon featuring Magik*Magik,http://ticketmaster.com/event/1C0052268EF514EF
ERROR | Could not extract presale info for --> Dreamstate,http://ticketmaster.com/event/1C00523FCB2F6DBE
ERROR | Could not extract presale info for --> Mac DeMarco,http://ticketmaster.com/event/1C00523E94791923
